source,n,feature,median,q1,q3
graph_of_skills,40,posdep_pos_PROPN,0.07846067625630487,0.04801621733044428,0.11325235958533189
graph_of_skills,40,posdep_pos_PUNCT,0.2044600938967136,0.17182776671827768,0.22392955229807088
graph_of_skills,40,posdep_pos_SCONJ,0.013722490290690833,0.008277943059426075,0.020082150620125305
graph_of_skills,40,posdep_pos_SYM,0.008583059868068003,0.0041843797689121425,0.018282931699722466
graph_of_skills,40,posdep_pos_VERB,0.11242910108773049,0.09305475677319035,0.1242109401325396
graph_of_skills,40,posdep_pos_X,0.004330297707967423,0.0,0.011082667332667334
graph_of_skills,40,posdep_dep_ROOT,0.033125357210897315,0.024933155080213903,0.054564014752370917
graph_of_skills,40,posdep_dep_acl,0.006986011711125569,0.0032745829491156006,0.010113683796989712
graph_of_skills,40,posdep_dep_acomp,0.003628337214963355,0.0,0.007106797777953294
graph_of_skills,40,posdep_dep_advcl,0.013667496886674967,0.007939574055080983,0.02478519624901837
graph_of_skills,40,posdep_dep_advmod,0.02612987012987013,0.012670810097484143,0.0380660932097734
graph_of_skills,40,posdep_dep_agent,0.0,0.0,0.0
graph_of_skills,40,posdep_dep_amod,0.06197507681802663,0.04603001561015339,0.07399220305242203
graph_of_skills,40,posdep_dep_appos,0.03433539640436192,0.014836038961038961,0.0453738331517418
graph_of_skills,40,posdep_dep_attr,0.001894761773181226,0.0,0.0057061464088397785
graph_of_skills,40,posdep_dep_aux,0.015984230453959955,0.007684349486929818,0.02631110832077683
graph_of_skills,40,posdep_dep_auxpass,0.0035379864731400566,0.0,0.0069934672788007435
graph_of_skills,40,posdep_dep_case,0.0,0.0,0.002294332117998011
graph_of_skills,40,posdep_dep_cc,0.023074957682603557,0.015133150818861093,0.03268305943896009
graph_of_skills,40,posdep_dep_ccomp,0.009425979828064712,0.004961587708066582,0.012570478440785609
graph_of_skills,40,posdep_dep_compound,0.10621296026425725,0.08527560992758208,0.14620235484605343
graph_of_skills,40,posdep_dep_conj,0.038928006530945455,0.03157792207792207,0.060478682630359
graph_of_skills,40,posdep_dep_csubj,0.0,0.0,0.0008181639711287843
graph_of_skills,40,posdep_dep_csubjpass,0.0,0.0,0.0
graph_of_skills,40,posdep_dep_dative,0.0,0.0,0.0
graph_of_skills,40,posdep_dep_dep,0.006824974769039671,0.0023045113005964618,0.008742393840030017
graph_of_skills,40,posdep_dep_det,0.03293930976533979,0.017768521800779865,0.05284581044340266
graph_of_skills,40,posdep_dep_dobj,0.05925683625446283,0.05058248855461086,0.07464997199775981
graph_of_skills,40,posdep_dep_expl,0.0,0.0,0.0
graph_of_skills,40,posdep_dep_intj,0.0,0.0,0.0
graph_of_skills,40,posdep_dep_mark,0.007479861910241657,0.0020059305773591487,0.012221675725743335
graph_of_skills,40,posdep_dep_meta,0.0,0.0,0.0
graph_of_skills,40,posdep_dep_neg,0.0047428212208976,0.002224385272675011,0.007408645276292335
graph_of_skills,40,posdep_dep_nmod,0.014297714863039357,0.007046742984721797,0.030771827182718273
graph_of_skills,40,posdep_dep_npadvmod,0.007698161807750849,0.0035104447439353098,0.011038415473445237
graph_of_skills,40,posdep_dep_nsubj,0.03723371872284609,0.025730519480519482,0.0523754835589942
graph_of_skills,40,posdep_dep_nsubjpass,0.0027157350425669963,0.0,0.005898534962574371
graph_of_skills,40,posdep_dep_nummod,0.006549657534246575,0.0023406097839939874,0.010282484415162349
graph_of_skills,40,posdep_dep_oprd,0.0,0.0,0.0
graph_of_skills,40,posdep_dep_parataxis,0.0005260534118433141,0.0,0.0018701080200397564
